"序号","英文名","国别","编号","时间","机构","主要内容","关键词","主题词","item_en","item_zh","title","url","type","source","topic","matrix_topics","authors","author_affiliations","topics","tags"
"1","Belfer Center for Science and International Affairs","USA","393576f86256","2025-12-08T12:00:00Z","Belfer Center (STPP)","Human activity in outer space is outpacing the rules that govern it. Falling launch costs have catalyzed unprecedented satellite deployment and opened the door to commercial ventures in orbit. Growing access to space has driven its militarization and reclassification as a “war-fighting domain” (Dolman, 2022). However, despite the need for international cooperation to govern this increased activity, collaboration has withered since the original Space Race (Dolman, 2022; Masson-Zwaan and Hofmann, 2024). The result is a New Space era that brings vast opportunities but also challenges that the current governance regime is ill-equipped to meet.","Governance; International Cooperation; International Relations; International Security & Defense; Science, Technology, and Public Policy; Space security; Treaties and International Agreements","Governance; International Cooperation; International Relations; International Security & Defense; Science, Technology, and Public Policy; Space security; Treaties and International Agreements; Governance; International Cooperation; International Relations; International Security & Defense; Space security; Treaties and International Agreements; Governance; International Cooperation; International Relations; International Security & Defense; Science, Technology, and Public Policy; Space security; Treaties and International Agreements","","","Governing Outer Space: A Conference of the Parties for the Outer Space Treaty","https://www.belfercenter.org/research-analysis/space-cop-governance","Reports & Papers","Belfer Center for Science and International Affairs","All","","Aaron Bateman","","Governance; International Cooperation; International Relations; International Security & Defense; Space security; Treaties and International Agreements","Governance; International Cooperation; International Relations; International Security & Defense; Science, Technology, and Public Policy; Space security; Treaties and International Agreements"
"2","Belfer Center for Science and International Affairs","USA","827b443d6431","2025-08-11T12:00:00Z","Belfer Center (STPP)","This report is based on insights from a two-day workshop hosted by the Belfer Center’s Arctic Initiative at the Harvard Kennedy School in late April 2025. The workshop brought together Indigenous, technical, academic, policy, and legal experts and practitioners to discuss the governance of research, testing, and potential deployment(s) of climate interventions in the Arctic.","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; Science & Technology; Science, Technology, and Public Policy","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; Science & Technology; Science, Technology, and Public Policy; Environment & Climate Change; Governance; Science & Technology; Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; Science & Technology; Science, Technology, and Public Policy","","","Workshop Report: The Governance of Arctic Climate Interventions","https://www.belfercenter.org/research-analysis/arctic-geoengineering-governance","Reports & Papers","Belfer Center for Science and International Affairs","All","","Alexandra Middleton","","Environment & Climate Change; Governance; Science & Technology","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; Science & Technology; Science, Technology, and Public Policy"
"3","Belfer Center for Science and International Affairs","USA","d56c99684f3a","2025-08-03T12:00:00Z","Belfer Center (STPP)","Belfer Center Postdoctoral Research Fellow Shangwei Liu explained how China brought down its nuclear power costs through stable regulations and strengthening its domestic supply chain in a March Energy Policy Seminar.","Asia & the Pacific; China's Energy Policy; Energy; Environment and Natural Resources; Nuclear power; Science, Technology, and Public Policy","Asia & the Pacific; China's Energy Policy; Energy; Environment and Natural Resources; Nuclear power; Science, Technology, and Public Policy; China's Energy Policy; Energy; Nuclear power; Asia & the Pacific; China's Energy Policy; Energy; Environment and Natural Resources; Nuclear power; Science, Technology, and Public Policy","Artificial Intelligence; Energy Technologies","人工智能; 能源技术","Breaking the Cost Escalation Curse of Nuclear Power","https://www.belfercenter.org/research-analysis/breaking-cost-escalation-curse-nuclear-power","Event Summary","Belfer Center for Science and International Affairs","All","Artificial Intelligence; Energy Technologies","David Minchin Allison; Stephen Herzog","","China's Energy Policy; Energy; Nuclear power","Asia & the Pacific; China's Energy Policy; Energy; Environment and Natural Resources; Nuclear power; Science, Technology, and Public Policy"
"4","Belfer Center for Science and International Affairs","USA","a49390f58f85","2025-07-15T12:00:00Z","Belfer Center (STPP)","China, the world’s largest emitter of greenhouse gases, has pledged to submit an updated “nationally determined contribution” (NDC) to the Paris Agreement before COP30 in Brazil in November. The new NDC will outline China’s climate targets through 2035.","Asia & the Pacific; China's Energy Policy; Climate Agreements; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy","Asia & the Pacific; China's Energy Policy; Climate Agreements; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy; China's Energy Policy; Climate Agreements; Environment & Climate Change; Asia & the Pacific; China's Energy Policy; Climate Agreements; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy","","","China’s Updated Climate Goals: Q&A with Senior Fellow Fan Dai","https://www.belfercenter.org/research-analysis/chinas-updated-climate-goals-qa-senior-fellow-fan-dai","Q&A","Belfer Center for Science and International Affairs","All","","Robert N Stavins; Catherine Wolfram","","China's Energy Policy; Climate Agreements; Environment & Climate Change","Asia & the Pacific; China's Energy Policy; Climate Agreements; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy"
"5","Belfer Center for Science and International Affairs","USA","59d14feff4a3","2025-06-02T12:00:00Z","Belfer Center (STPP)","Using trade volume data, sectoral emissions intensity estimates, and jurisdiction-specific carbon pricing data, co-authors Ely Sandler, Christine Jiang, and Daniel Schrag calculate the potential impact of a U.S. border carbon adjustment under various design scenarios on a good-by-good and country-by-country basis.","Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; North America; Science, Technology, and Public Policy; Trade","Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; North America; Science, Technology, and Public Policy; Trade; Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; Trade; Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; North America; Science, Technology, and Public Policy; Trade","","","The Revenue Potential and Country Exposure of a U.S. Border Carbon Adjustment","https://www.belfercenter.org/research-analysis/us-border-carbon-adjustment","Reports & Papers","Belfer Center for Science and International Affairs","All","","Robert Stowe","","Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; Trade","Climate Change Policy; Economic Policy; Economics & Global Affairs; Environment & Climate Change; North America; Science, Technology, and Public Policy; Trade"
"6","Belfer Center for Science and International Affairs","USA","68cae040752e","2025-05-12T12:00:00Z","Belfer Center (STPP)","A report based on insights from a three-day workshop hosted by the Arctic Initiative at Harvard Kennedy School on December 3-5, 2024.","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; International Relations; North America; Russia; Science, Technology, and Public Policy","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; International Relations; North America; Russia; Science, Technology, and Public Policy; Environment & Climate Change; Governance; International Relations; Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; International Relations; North America; Russia; Science, Technology, and Public Policy","","","Preserving U.S.-Russian Cooperation in Science and Marine Stewardship: Opportunities for Civil Society in the Bering Strait","https://www.belfercenter.org/research-analysis/preserving-us-russian-cooperation-science-and-marine-stewardship-opportunities","Reports & Papers","Belfer Center for Science and International Affairs","All","","Alexandra Middleton","","Environment & Climate Change; Governance; International Relations","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Governance; International Relations; North America; Russia; Science, Technology, and Public Policy"
"7","Belfer Center for Science and International Affairs","USA","a530cf380691","2025-05-02T12:00:00Z","Belfer Center (STPP)","Imagine you urgently need to see your doctor, but the road from your house to the clinic in town is potholed and crumbling, and it shifts from day to day. Or perhaps the ground beneath your house is sinking, and the door frame is too crooked to fully shut out the cold and the damp.","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Global Health; North America; Science, Technology, and Public Policy","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Global Health; North America; Science, Technology, and Public Policy; Environment & Climate Change; Global Health; Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Global Health; North America; Science, Technology, and Public Policy","","","The Health Impacts of Permafrost Thaw in Alaska","https://www.belfercenter.org/research-analysis/health-impacts-permafrost-thaw-alaska","Event Summary","Belfer Center for Science and International Affairs","All","","Robert Dubrow","","Environment & Climate Change; Global Health","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Global Health; North America; Science, Technology, and Public Policy"
"8","Belfer Center for Science and International Affairs","USA","43401796a8f0","2025-02-26T12:00:00Z","Belfer Center (STPP)","Demand-side innovation policies are necessary to build robust markets for clean hydrogen; supply-side incentives alone cannot ameliorate outstanding concerns.","Energy; Environment & Climate Change; Environment and Natural Resources; Europe; Hydrogen; North America; Science, Technology, and Public Policy; U.S. Energy Policy","Energy; Environment & Climate Change; Environment and Natural Resources; Europe; Hydrogen; North America; Science, Technology, and Public Policy; U.S. Energy Policy; Energy; Environment & Climate Change; Hydrogen; U.S. Energy Policy; Energy; Environment & Climate Change; Environment and Natural Resources; Europe; Hydrogen; North America; Science, Technology, and Public Policy; U.S. Energy Policy","","","Stimulating Clean Hydrogen Demand: The Current Landscape","https://www.belfercenter.org/research-analysis/stimulating-clean-hydrogen-demand-current-landscape","Policy Briefs","Belfer Center for Science and International Affairs","All","","Oh, Soyoung; Mohammed Al-Juaied","","Energy; Environment & Climate Change; Hydrogen; U.S. Energy Policy","Energy; Environment & Climate Change; Environment and Natural Resources; Europe; Hydrogen; North America; Science, Technology, and Public Policy; U.S. Energy Policy"
"9","Belfer Center for Science and International Affairs","USA","77a0b01d69ee","2025-02-21T12:00:00Z","Belfer Center (STPP)","When the UN Agreement on Biodiversity in Areas Beyond National Jurisdiction was adopted in 2023, it was hailed as a milestone for marine biodiversity conversation. But in order for the new law, also known as the “BBNJ agreement” or “High Seas Treaty,” to take effect, at least 60 countries must ratify it.","Arctic; Arctic Initiative; Biodiversity; Environment & Climate Change; Environment and Natural Resources; Natural resource management; Science, Technology, and Public Policy","Arctic; Arctic Initiative; Biodiversity; Environment & Climate Change; Environment and Natural Resources; Natural resource management; Science, Technology, and Public Policy; Biodiversity; Environment & Climate Change; Natural resource management; Arctic; Arctic Initiative; Biodiversity; Environment & Climate Change; Environment and Natural Resources; Natural resource management; Science, Technology, and Public Policy","","","Thinking Beyond Boundaries: How the High Seas Treaty Can Serve the Arctic","https://www.belfercenter.org/research-analysis/thinking-beyond-boundaries-how-high-seas-treaty-can-serve-arctic","Event Summary","Belfer Center for Science and International Affairs","All","","Katharina Heinrich","","Biodiversity; Environment & Climate Change; Natural resource management","Arctic; Arctic Initiative; Biodiversity; Environment & Climate Change; Environment and Natural Resources; Natural resource management; Science, Technology, and Public Policy"
"10","Belfer Center for Science and International Affairs","USA","50ee67279d12","2024-12-16T12:00:00Z","Belfer Center (STPP)","There is a growing recognition that permafrost thaw significantly impacts the way of life for communities across the Arctic. Numerous projects aim to expand our understanding of permafrost dynamics, emphasizing the need for collaboration with the communities most impacted by these changes. These initiatives focus on delivering relevant knowledge and data to empower local decision-making.","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy; Environment & Climate Change; Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy","","","Call to Action on Permafrost: Applying Knowledge and Research to Complex Problems Facing Communities","https://www.belfercenter.org/research-analysis/call-action-permafrost-applying-knowledge-and-research-complex-problems-facing","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School Arctic Athabaskan Council","All","","Alexandra Middleton","","Environment & Climate Change","Arctic; Arctic Initiative; Environment & Climate Change; Environment and Natural Resources; Science, Technology, and Public Policy"
