序号,英文名,国别,编号,时间,机构,主要内容,关键词,主题词,item_en,item_zh,title,url,type,source,topic,matrix_topics,authors,author_affiliations,topics,tags
1,Belfer Center for Science and International Affairs,USA,d24376d1b5c5,2025-12-10T12:00:00Z,Belfer Center (STPP),,,,,,Decarbonizing Residential Space Heating with Heat Pumps in the United States,https://www.belfercenter.org/research-analysis/decarbonizing-residential-space-heating-heat-pumps-united-states,Article,Energy Policy,All,,,,,
2,Belfer Center for Science and International Affairs,USA,393576f86256,2025-12-08T12:00:00Z,Belfer Center (STPP),,,,,,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,https://www.belfercenter.org/research-analysis/space-cop-governance,Reports & Papers,Belfer Center for Science and International Affairs,All,,,,,
3,Belfer Center for Science and International Affairs,USA,827b443d6431,2025-08-11T12:00:00Z,Belfer Center (STPP),,,,,,Workshop Report: The Governance of Arctic Climate Interventions,https://www.belfercenter.org/research-analysis/arctic-geoengineering-governance,Reports & Papers,Belfer Center for Science and International Affairs,All,,,,,
4,Belfer Center for Science and International Affairs,USA,c1502741cc01,2025-08-04T12:00:00Z,Belfer Center (STPP),,,,,,Carbon Tax Assets for Carbon Tax Liabilities: Using CBAM to Increase Climate Finance,https://www.belfercenter.org/research-analysis/carbon-tax-assets-carbon-tax-liabilities-using-cbam-increase-climate-finance,Article,Climate Policy,All,,,,,
5,Belfer Center for Science and International Affairs,USA,d56c99684f3a,2025-08-03T12:00:00Z,Belfer Center (STPP),,,,,,Breaking the Cost Escalation Curse of Nuclear Power,https://www.belfercenter.org/research-analysis/breaking-cost-escalation-curse-nuclear-power,Event Summary,Belfer Center for Science and International Affairs,All,,,,,
6,Belfer Center for Science and International Affairs,USA,a49390f58f85,2025-07-15T12:00:00Z,Belfer Center (STPP),,,,,,China’s Updated Climate Goals: Q&A with Senior Fellow Fan Dai,https://www.belfercenter.org/research-analysis/chinas-updated-climate-goals-qa-senior-fellow-fan-dai,Q&A,Belfer Center for Science and International Affairs,All,,,,,
7,Belfer Center for Science and International Affairs,USA,0b84d02697ba,2025-06-05T12:00:00Z,Belfer Center (STPP),,,,Artificial Intelligence,人工智能,"Bruce Schneier's Testimony on ""The Federal Government in the Age of Artificial Intelligence""",https://www.belfercenter.org/research-analysis/bruce-schneiers-testimony-federal-government-age-artificial-intelligence,Testimonies,,All,Artificial Intelligence,,,,
8,Belfer Center for Science and International Affairs,USA,59d14feff4a3,2025-06-02T12:00:00Z,Belfer Center (STPP),,,,,,The Revenue Potential and Country Exposure of a U.S. Border Carbon Adjustment,https://www.belfercenter.org/research-analysis/us-border-carbon-adjustment,Reports & Papers,Belfer Center for Science and International Affairs,All,,,,,
9,Belfer Center for Science and International Affairs,USA,68cae040752e,2025-05-12T12:00:00Z,Belfer Center (STPP),,,,,,Preserving U.S.-Russian Cooperation in Science and Marine Stewardship: Opportunities for Civil Society in the Bering Strait,https://www.belfercenter.org/research-analysis/preserving-us-russian-cooperation-science-and-marine-stewardship-opportunities,Reports & Papers,Belfer Center for Science and International Affairs,All,,,,,
10,Belfer Center for Science and International Affairs,USA,a530cf380691,2025-05-02T12:00:00Z,Belfer Center (STPP),,,,,,The Health Impacts of Permafrost Thaw in Alaska,https://www.belfercenter.org/research-analysis/health-impacts-permafrost-thaw-alaska,Event Summary,Belfer Center for Science and International Affairs,All,,,,,
11,Belfer Center for Science and International Affairs,USA,43401796a8f0,2025-02-26T12:00:00Z,Belfer Center (STPP),,,,,,Stimulating Clean Hydrogen Demand: The Current Landscape,https://www.belfercenter.org/research-analysis/stimulating-clean-hydrogen-demand-current-landscape,Policy Briefs,Belfer Center for Science and International Affairs,All,,,,,
12,Belfer Center for Science and International Affairs,USA,77a0b01d69ee,2025-02-21T12:00:00Z,Belfer Center (STPP),,,,,,Thinking Beyond Boundaries: How the High Seas Treaty Can Serve the Arctic,https://www.belfercenter.org/research-analysis/thinking-beyond-boundaries-how-high-seas-treaty-can-serve-arctic,Event Summary,Belfer Center for Science and International Affairs,All,,,,,
13,Belfer Center for Science and International Affairs,USA,a5fc15ca210f,,Belfer Center (STPP),,,,,,Enabling and Bridging Institutional Diversity Through Polycentric Governance Structures to Advance Sustainable Development: A Case Study of the Arctic Council,https://www.belfercenter.org/research-analysis/enabling-and-bridging-institutional-diversity-through-polycentric-governance,Books,Taylor and Francis,All,,,,,
14,Belfer Center for Science and International Affairs,USA,b0ddc1b107bd,2024-12-30T12:00:00Z,Belfer Center (STPP),,,,,,Arctic Environmental Security: Complex Dynamics in a Region of Change,https://www.belfercenter.org/research-analysis/arctic-environmental-security-complex-dynamics-region-change,Books,Routledge,All,,,,,
15,Belfer Center for Science and International Affairs,USA,50ee67279d12,2024-12-16T12:00:00Z,Belfer Center (STPP),,,,,,Call to Action on Permafrost: Applying Knowledge and Research to Complex Problems Facing Communities,https://www.belfercenter.org/research-analysis/call-action-permafrost-applying-knowledge-and-research-complex-problems-facing,Reports & Papers,"Belfer Center for Science and International Affairs, Harvard Kennedy School
Arctic Athabaskan Council",All,,,,,
16,Belfer Center for Science and International Affairs,USA,83f587e27b5f,2024-12-02T12:00:00Z,Belfer Center (STPP),,,,,,Leveraging Border Carbon Adjustments for Climate Finance: Matching Carbon Tax Assets with Carbon Tax Liabilities,https://www.belfercenter.org/research-analysis/cbam-climate-finance,Reports & Papers,"Science, Technology, and Public Policy Program, Belfer Center",All,,,,,
17,Belfer Center for Science and International Affairs,USA,3911d005652a,2024-11-02T12:00:00Z,Belfer Center (STPP),,,,,,Sustainable Municipal Solid Waste Management: A Comparative Analysis of Enablers and Barriers to Advance Governance in the Arctic,https://www.belfercenter.org/research-analysis/sustainable-municipal-solid-waste-management-comparative-analysis-enablers-and,Article,Journal of Environmental Management,All,,,,,
18,Belfer Center for Science and International Affairs,USA,9543c5b9c6b8,2024-10-30T12:00:00Z,Belfer Center (STPP),,,,,,Beyond the Ice: The Worldwide Impacts of Arctic Extremes,https://www.belfercenter.org/research-analysis/beyond-ice-worldwide-impacts-arctic-extremes,Event Summary,,All,,,,,
19,Belfer Center for Science and International Affairs,USA,ebca87bae76d,2024-10-08T12:00:00Z,Belfer Center (STPP),,,,,,Carbon Abatement Costs of Green Hydrogen Across End-Use Sectors,https://www.belfercenter.org/research-analysis/carbon-abatement-costs-green-hydrogen-across-end-use-sectors,Article,Joule,All,,,,,
20,Belfer Center for Science and International Affairs,USA,1096876bca0b,,Belfer Center (STPP),,,,,,Reimagining Democracy,https://www.belfercenter.org/research-analysis/reimagining-democracy,Article,Common Knowledge,All,,,,,
